Imprint,Publisher
Stepping Stone/Random House,Penguin Random House
Sterling,Barnes & Noble
Tarcher/Penguin,Penguin Random House
Ten Speed,Penguin Random House
Thomas Dunne/St. Martin's,Macmillan Publishers
Thomas Dunne/St. Martin’s,Macmillan Publishers
Three Rivers,Penguin Random House
Threshold Editions/Mercury Radio Arts,Simon & Schuster
Tommy Nelson,HarperCollins
Tor,Macmillan Publishers
Tor Teen,Macmillan Publishers
Tor/Tom Doherty,Macmillan Publishers
Touchstone,Simon & Schuster
Touchstone/Simon & Schuster,Simon & Schuster
Tyndale,Tyndale House
Tyndale House,Tyndale House
Various publishers,Various publishers
Victory Belt,Penguin Random House
Vintage,Penguin Random House
Vintage Crime/Black Lizard,Penguin Random House
Vintage International,Penguin Random House
Weinstein,Hachette Book
Weinstein Books,Hachette Book
Wiley,"John Wiley & Sons, Inc."
William Morrow,"John Wiley & Sons, Inc."
Witness Impulse,HarperCollins
Witness Impulse/HarperCollins,HarperCollins
Wizards of the Coast,Hasbro
Worthy,Hachette Book
Worthy Publishing,Hachette Book
Zinc Ink/Ballantine,Penguin Random House
Zondervan,HarperCollins
Grove/Atlantic Inc,Atlantic Monthly
Simon & Schuster,Atria/Keywords
B & H,B & H Publishing
B & H Publishing,B & H Publishing
B&H,B & H Publishing
Baker Books,Baker Publishing Group
Broadside/HarperCollins,HarperCollins
Celebra,Penguin Random House
Convergent,Penguin Random House
Convergent Books,Penguin Random House
CreateSpace,CreateSpace
Dey Street/ Morrow,HarperCollins
DGS,DGS
Disney Press,Disney Publishing Worldwide
Disney/Lucasfilm,Disney Publishing Worldwide
Dutton/Penguin Publishing Group,Penguin Random House
Europa Editions,Europa Editions
EverAfter Romance,Diversion Publishing
Faith Words,Hachette Book
Greenwillow/HarperCollins,HarperCollins
Grove,Grove
Grove Press,Grove/Atlantic Inc
Hazelden,Hazelden Publishing
Helena Hunting,Simon & Schuster
Hoover Ink,Simon & Schuster
J.S. Cooper and Helen Cooper,Macmillan Publishers
Jeremy P. Tarcher/Penguin,Penguin Random House
Katherine Tegen,HarperCollins
Keywords/Atria,Simon & Schuster
Laree Bailey,Laree Bailey Press
Little  Brown,Hachette Book
LucasBooks,Disney Publishing Worldwide
Marian Wood/Putnam,Penguin Random House
Marvel,Disney Publishing Worldwide
Metal Blonde,Metal Blonde Books
Mira,HarperCollins
NAL,Penguin Random House
National Geographic,Disney Publishing Worldwide
Nelson Books,HarperCollins
New Word City,New Word City
Oak Press,Oak Press
Orbit,Hachette Book
Pam Krauss,Penguin Random House
Paula Deen Ventures,Simon & Schuster
Pepper Winters,Hachette Book
Princeton University,Princeton University Press
Quirk,Quirk Books
Regan Arts,Simon & Schuster
Revell,Baker Publishing Group
Running Press,Hachette Book
Science Future Press,Science Future Press
Scout Press,Simon & Schuster
"Simon & Schuster,",Simon & Schuster
Simon Pulse,Simon & Schuster
Sourcebooks/Jabberwocky,Sourcebooks
South Dakota Historical Society,South Dakota Historical Society Press
South Dakota Historical Society Press,South Dakota Historical Society Press
Susan Stoker,Aces Press
Ten Speed Press,Penguin Random House
Three Rivers Press,Penguin Random House
Threshold Editions,Simon & Schuster
Tim Duggan,Macmillan Publishers
Tommy Nelson,HarperCollins
TwoDot,Rowman & Littlefield
Zebra,Zebra Press
Basic Books,Hachette Book
Little Brown,Hachette Book
America's Test Kitchen,Marquee Brands
Dey St.,HarperCollins
